entry_id,raw_text,surname,first_name,first_name_expanded,suffix,occupation,relationship_type,related_to_name,age,origin,descriptor,additional_persons,additional_persons_count,entry_type,confidence,flags
27,"Albertson, Thomas' wife - farmer",Albertson,,,,farmer,wife,Thomas,,,farmer,,,named,high,
28,"Albrecht, ______-, skinner",Albrecht,,,,skinner,,,,,skinner,,,unnamed,medium,unknown_first_name
29,"Albrecht, Frederic",Albrecht,Frederic,Frederic,,,,,,,,,,named,high,
30,"Albrecht, Michael, son of Michael",Albrecht,Michael,Michael,,son of Michael,son,,,,son of Michael,,,named,high,
31,"Alder, James – merchant",Alder,James,James,,merchant,,,,,merchant,,,named,high,
32,"Ale, Sebastian (see Hale)",Ale,Sebastian (see Hale),Sebastian (see Hale),,,,,,,,,,named,high,
33,"Alexander, wife of ?, & apprentice",Alexander,,,,,wife,"?, & apprentice",,,,,,named,high,
34,"Alexander, Elisha – tailor",Alexander,Elisha,Elisha,,tailor,,,,,tailor,,,named,high,
35,"Alexander, Hester",Alexander,Hester,Hester,,,,,,,,,,named,high,
36,"Alexander, J. – weaver, & apprentice",Alexander,J.,J.,,weaver,apprentice,,,,weaver,apprentice,,named,high,
37,"Alexander, James – hatter",Alexander,James,James,,hatter,,,,,hatter,,,named,high,
38,"Alexander, Rebecca",Alexander,Rebecca,Rebecca,,,,,,,,,,named,high,
39,"Alibrink, Augustus – and 3 children",Alibrink,Augustus,Augustus,,,children,,,,,3 children,3,named,high,
40,"Allaway, Nicholas – labourer",Allaway,Nicholas,Nicholas,,labourer,,,,,labourer,,,named,high,
41,"Allegue, Elizabeth",Allegue,Elizabeth,Elizabeth,,,,,,,,,,named,high,
42,"Allen, - James' child",Allen,,,,James' child,child,,,,James' child,,,named,high,
43,"Allen, David's sister",Allen,David's sister,David's sister,,,,,,,,,,named,high,
44,"Allen, Ann",Allen,Ann,Ann,,,,,,,,,,named,high,
45,"Allen, John – soap-boiler",Allen,John,John,,soap-boiler,,,,,soap-boiler,,,named,high,
46,"Allen, Joseph",Allen,Joseph,Joseph,,,,,,,,,,named,high,
47,"Allen, Mary",Allen,Mary,Mary,,,,,,,,,,named,high,
48,"Allen, Mary – Æt 70",Allen,Mary,Mary,,,,,70,,,,,named,high,
49,"Allen, Rebecca – widow",Allen,Rebecca,Rebecca,,,widow,,,,,,,named,high,
50,"Allen, William, servant",Allen,William,William,,servant,servant,,,,servant,,,named,high,
51,"Alley, William",Alley,William,William,,,,,,,,,,named,high,
52,"Allibone, Thomas' child",Allibone,,,,,child,Thomas,,,,,,named,high,
53,"Allison, George – sadler",Allison,George,George,,sadler,,,,,sadler,,,named,high,
54,"Allison, Robert Sen.",Allison,Robert .,Robert .,Sen,,,,,,,,,named,high,
55,"Allman, John",Allman,John,John,,,,,,,,,,named,high,
56,"Allman, Lawrence and child",Allman,Lawrence and child,Lawrence and child,,,,,,,,,,named,high,
57,"Aloerstock,, Jacob – brewer",Aloerstock,", Jacob",", Jacob",,brewer,,,,,brewer,,,named,high,
58,"Alyart, Peter",Alyart,Peter,Peter,,,,,,,,,,named,high,
59,"Amand, _____",Amand,,,,,,,,,,,,unnamed,medium,unknown_first_name
60,"Ammond, Sarah",Ammond,Sarah,Sarah,,,,,,,,,,named,high,
61,"Anders, Susanna",Anders,Susanna,Susanna,,,,,,,,,,named,high,
62,"Anderson, Jacob's daughter",Anderson,,,,,daughter,Jacob,,,,,,named,high,
63,"Anderson,  James' wife",Anderson,,,,,wife,James,,,,,,named,high,
64,"Anderson, Alexander – innkeeper",Anderson,Alexander,Alexander,,innkeeper,,,,,innkeeper,,,named,high,
65,"Anderson, Francis – and child",Anderson,Francis,Francis,,,child,,,,,child,,named,high,
66,"Anderson, Hugh – tailor",Anderson,Hugh,Hugh,,tailor,,,,,tailor,,,named,high,
67,"Andrews, - Thomas' son",Andrews,,,,Thomas' son,son,,,,Thomas' son,,,named,high,
68,"Andrews, Isaac",Andrews,Isaac,Isaac,,,,,,,,,,named,high,
69,"Andrews, Thomas – shoemaker",Andrews,Thomas,Thomas,,shoemaker,,,,,shoemaker,,,named,high,
70,"Annan, Rev. Robert's wife",Annan,,,,,wife,Rev. Robert,,,,,,named,high,
71,"Anthony , Jacob's wife",Anthony,,,,,wife,Jacob,,,,,,named,high,
72,"Anthony, Henry, Jacob's son",Anthony,,,,,son,"Henry, Jacob",,,,,,named,high,
73,"Anthony, Thomas. P. – merchant",Anthony,Thomas. P.,Thomas. P.,,merchant,,,,,merchant,,,named,high,
74,"Antonio, -, clerk, Portugal",Antonio,,,,clerk,,,,Portugal,"clerk, Portugal",,,named,medium,unknown_first_name
75,"Apfel, Henry's daughter",Apfel,,,,,daughter,Henry,,,,,,named,high,
76,"Apple, Andrew and child",Apple,Andrew and child,Andrew and child,,,,,,,,,,named,high,
77,"Apple, Henry, tailor",Apple,Henry,Henry,,tailor,,,,,tailor,,,named,high,
78,"Appleby, Elizabeth – servant girl",Appleby,Elizabeth,Elizabeth,,servant girl,servant,,,,servant girl,,,named,high,
79,"Armand, Benjamin and child",Armand,Benjamin and child,Benjamin and child,,,,,,,,,,named,high,
80,"Armstrong, Barney , labourer",Armstrong,Barney,Barney,,labourer,,,,,labourer,,,named,high,
81,"Armstrong, Andrew's child",Armstrong,,,,,child,Andrew,,,,,,named,high,
82,"Armstrong, Christian – weaver",Armstrong,Christian,Christian,,weaver,,,,,weaver,,,named,high,
83,"Armstrong, Christopher – weaver",Armstrong,Christopher,Christopher,,weaver,,,,,weaver,,,named,high,
84,"Armstrong, Hugh – weaver",Armstrong,Hugh,Hugh,,weaver,,,,,weaver,,,named,high,
85,"Armstrong, James – weaver",Armstrong,James,James,,weaver,,,,,weaver,,,named,high,
86,"Armstrong, John",Armstrong,John,John,,,,,,,,,,named,high,
87,"Arpurth, -, Christopher's wife",Arpurth,,,,,wife,"-, Christopher",,,,,,named,high,
88,"Artery, Michael",Artery,Michael,Michael,,,,,,,,,,named,high,
89,"Ash, Johnn – breeches-maker",Ash,Johnn,Johnn,,breeches-maker,,,,,breeches-maker,,,named,high,
90,"Ashby, Nathaniel's child",Ashby,,,,,child,Nathaniel,,,,,,named,high,
91,"Ashen, George",Ashen,George,George,,,,,,,,,,named,high,
92,"Ashtin, Joseph",Ashtin,Joseph,Joseph,,,,,,,,,,named,high,
93,"Ashton, Jos.' wife and 2 children",Ashton,,,,,wife,Jos.,,,,2 children,2,named,high,
94,"Ashton, John – labourer & wife",Ashton,John,John,,labourer,wife,,,,labourer,wife,,named,high,
95,"Ashton, John – medical student",Ashton,John,John,,medical student,,,,,medical student,,,named,high,
96,"Ashton, Joseph – bricklayer",Ashton,Joseph,Joseph,,bricklayer,,,,,bricklayer,,,named,high,
97,"Ashton, Joseph - carpenter",Ashton,Joseph,Joseph,,carpenter,,,,,carpenter,,,named,high,
98,"Aston, Peter's wife and son",Aston,,,,,wife,Peter,,,,son,,named,high,
99,"Aston, Peter – merchant",Aston,Peter,Peter,,merchant,,,,,merchant,,,named,high,
100,"Aston, Stephen - labourer",Aston,Stephen,Stephen,,labourer,,,,,labourer,,,named,high,
101,"Atkinson, John",Atkinson,John,John,,,,,,,,,,named,high,
102,"Attmore, Caleb - hatter and his apprentice",Attmore,Caleb,Caleb,,hatter,apprentice,,,,hatter,apprentice,,named,high,
103,"Attrietz, Jane's daughter",Attrietz,,,,,daughter,Jane,,,,,,named,high,
104,"Attrietz, Jane – widow",Attrietz,Jane,Jane,,,widow,,,,,,,named,high,
105,"Aubaine, James",Aubaine,James,James,,,,,,,,,,named,high,
106,"Audibert, Phil. B. – merchant, France",Audibert,Phil. B.,Phil. B.,,merchant,,,,France,"merchant, France",,,named,high,
107,"Auje, Monsieur - - France",Auje,Monsieur,Monsieur,,-,,,,France,- France,,,named,high,
108,"Auler, Julia – servant girl",Auler,Julia,Julia,,servant girl,servant,,,,servant girl,,,named,high,
109,"Austin, Isaac – currier",Austin,Isaac,Isaac,,currier,,,,,currier,,,named,high,
110,"Auston, Kitty – seamstress",Auston,Kitty,Kitty,,seamstress,,,,,seamstress,,,named,high,
111,"Azor, Remiquis",Azor,Remiquis,Remiquis,,,,,,,,,,named,high,
112,"Babb, Michael",Babb,Michael,Michael,,,,,,,,,,named,high,
113,"Bach, Christian's daughter",Bach,,,,,daughter,Christian,,,,,,named,high,
114,"Back, Elizabeth",Back,Elizabeth,Elizabeth,,,,,,,,,,named,high,
115,"Backer, - widow",Backer,,,,,widow,,,,,,,named,high,
116,"Backley, George",Backley,George,George,,,,,,,,,,named,high,
117,"Bacon, - David's wife",Bacon,,,,David's wife,wife,,,,David's wife,,,named,high,
118,"Bacon, - John's wife",Bacon,,,,John's wife,wife,,,,John's wife,,,named,high,
119,"Bacon, Mary",Bacon,Mary,Mary,,,,,,,,,,named,high,
120,"Bader, Jacob - labourer",Bader,Jacob,Jacob,,labourer,,,,,labourer,,,named,high,
121,"Badley, John – farmer",Badley,John,John,,farmer,,,,,farmer,,,named,high,
